rank,book,authors,year,country,language
3,The Great Gatsby,F. Scott Fitzgerald,1925,American,English
181,An American Tragedy,Theodore Dreiser,1925,American,English
887,The Making of Americans,Gertrude Stein,1925,American,English
383,Death Comes for the Archbishop,Willa Cather,1927,American,English
71,A Farewell to Arms,Ernest Hemingway,1929,American,English
424,Passing,Nella Larsen,1929,American,English
9,The Sound and the Fury,William Faulkner,1929,American,English
42,"Absalom, Absalom!",William Faulkner,1936,American,English
263,Nightwood,Djuna Barnes,1936,American,English
1842,East Goes West,Younghill Kang,1937,American,English
64,Their Eyes Were Watching God,Zora Neale Hurston,1937,American,English
186,U.S.A. Trilogy,John Dos Passos,1930,American,English
1899,Ask The Dust,John Fante,1939,American,English
120,The Big Sleep,Raymond Chandler,1939,American,English
372,The Day of the Locust,Nathanael West,1939,American,English
27,The Grapes of Wrath,John Steinbeck,1939,American,English
111,Native Son,Richard Wright,1940,American,English
113,The Heart Is A Lonely Hunter,Carson McCullers,1940,American,English
1637,A Time To Be Born,Dawn Powell,1942,American,English
148,All the King's Men,Robert Penn Warren,1946,American,English
1084,The Street,Ann Petry,1946,American,English
1145,In A Lonely Place,Dorothy B. Hughes,1947,American,English
2636,The Mountain Lion,Jean Stafford,1947,American,English
5,The Catcher in the Rye,J. D. Salinger,1951,American,English
102,Charlotte's Web,E. B. White,1952,American,English
33,Invisible Man,Ralph Ellison,1952,American,English
157,Fahrenheit 451,Ray Bradbury,1953,American,English
1227,Maud Martha,Gwendolyn Brooks,1953,American,English
273,The Adventures of Augie March,Saul Bellow,1953,American,English
11,Lolita,Vladimir Nabokov,1955,American,English
154,Giovanni's Room,James Baldwin,1956,American,English
1611,Peyton Place,Grace Metalious,1956,American,English
2637,Deep Water,Patricia Highsmith,1957,American,English
6210,No No Boy,John Okada,2024,American,English
41,On the Road,Jack Kerouac,1957,American,English
205,The Haunting of Hill House,Shirley Jackson,1959,American,English
35,Catch-22,Joseph Heller,1961,American,English
303,A Wrinkle In Time,Madeleine L'Engle,1962,American,English
492,Another Country,James Baldwin,1962,American,English
159,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,American,English
70,Pale Fire,Vladimir Nabokov,1962,American,English
1862,The Zebra Striped Hearse,Ross Macdonald,1962,American,English
96,The Bell Jar,Sylvia Plath,1963,American,English
747,The Group,Mary McCarthy,1963,American,English
429,The Crying of Lot 49,Thomas Pynchon,1966,American,English
693,A Sport and a Pastime,James Salter,1967,American,English
951,Couples,John Updike,1968,American,English
510,Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,American,English
3485,Divorcing,Susan Taubes,1969,American,English
244,Portnoy's Complaint,Philip Roth,1969,American,English
77,Slaughterhouse-Five,Kurt Vonnegut,1969,American,English
554,"Are You There God? It's Me, Margaret",Judy Blume,1970,American,English
1720,Desperate Characters,Paula Fox,1970,American,English
421,Play It As It Lays,Joan Didion,1970,American,English
3485,Log Of The S.S. The Mrs Unguentine,Stanley Crawford,1972,American,English
1245,Mumbo Jumbo,Ishmael Reed,1972,American,English
540,Sula,Toni Morrison,1973,American,English
3485,The Revolt Of The Cockroach People,Oscar Zeta Acosta,1973,American,English
1661,Oreo,Fran Ross,1974,American,English
533,The Dispossessed,Ursula K. Le Guin,1974,American,English
1860,Winter In The Blood,James Welch,1974,American,English
1585,Corregidora,Gayl Jones,1975,American,English
958,Speedboat,Renata Adler,1976,American,English
976,Ceremony,Leslie Marmon Silko,1977,American,English
269,Song of Solomon,Toni Morrison,1977,American,English
2787,A Contract With God,Will Eisner,1978,American,English
2254,Dancer From The Dance,Andrew Holleran,1978,American,English
271,The Stand,Stephen King,1978,American,English
496,Kindred,Octavia E. Butler,1979,American,English
2815,The Dog Of The South,Charles Portis,1979,American,English
319,Housekeeping,Marilynne Robinson,1980,American,English
2317,The Salt Eaters,Toni Cade Bambara,1980,American,English
1135,"Little, Big",John Crowley,1981,American,English
4055,Oxherding Tale,Charles R. Johnson,1982,American,English
2269,Machine Dreams,Jayne Anne Phillips,1984,American,English
180,Blood Meridian,Cormac McCarthy,1985,American,English
2313,A Summons to Memphis,Peter Taylor,1986,American,English
786,Watchmen,Alan Moore,1986,"American, British",English
45,Beloved,Toni Morrison,1987,American,English
2545,Dawn,Octavia E. Butler,1987,American,English
1900,Geek Love,Katherine Dunn,1989,American,English
2597,Tripmaster Monkey,Maxine Hong Kingston,1989,American,English
3053,Dogeaters,Jessica Hagedorn,1990,American,English
552,American Psycho,Bret Easton Ellis,1991,American,English
1462,How the Garcia Girls Lost Their Accents,Julia Alvarez,1991,Dominican,English
1162,Mating,Norman Rush,1991,American,English
698,Bastard Out of Carolina,Dorothy Allison,1992,American,English
