rank,book,authors,year,country,language
48,One Thousand and One Nights,Unknown,800,Multiple,Arabic
1970,The Tale of the Bamboo Cutter,Unknown,900,Japanese,Japanese
127,The Tale of Genji,Murasaki Shikibu,1001,Japanese,Classical japanese
777,Romance of the Three Kingdoms,Guanzhong Luo,1400,Chinese,Chinese
1114,The Water Margin,Shi Naian,1370,Chinese,Chinese
494,The Golden Ass,Apuleius,158,Roman,Latin
3271,Tirant Lo Blanc,Joanot Martorell,1490,Spanish,Catalan
502,Celestina Or The Tragic-Comedy Of Calisto And Melibea,Fernando de Rojas,1499,Spanish,Spanish
787,Amadis of Gaul,Garci R. de Montalvo,1508,Spanish,Spanish
615,The Life of Lazarillo de Tormes,Unknown,1554,Spanish,Spanish
129,Gargantua and Pantagruel,Francois Rabelais,1532,French,French
461,The Lusiad,Luís Vaz Camões,1572,Portuguese,Portuguese
358,Journey to the West,Wu Cheng'en,1592,Chinese,Chinese
1565,The Unfortunate Traveller,Thomas Nashe,1594,British,English
3271,"Thomas of Reading, Or, The Sixe Worthie Yeomen of the West",Thomas Deloney,1599,British,English
8,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
3271,The Trials of Persiles and Sigismunda,Miguel de Cervantes,1617,Spanish,Spanish
1355,The True History of the Conquest of New Spain,Bernal Díaz del Castillo,1632,Spanish,Spanish
759,Simplicius Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,1668,German,German
277,The Princess of Cleves,Madame de La Fayette,1678,French,French
682,Oroonoko,Aphra Behn,1688,British,English
69,Robinson Crusoe,Daniel Defoe,1719,British,English
3271,"Love in Excess; or, The Fatal Enquiry",Eliza Haywood,1719,British,English
339,Moll Flanders,Daniel Defoe,1722,British,English
65,Gulliver's Travels,Jonathan Swift,1726,British,English
1878,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729,Irish,English
968,Joseph Andrews,Henry Fielding,1742,British,English
3271,Memoirs of Martinus Scriblerus,Scriblerus Club,1741,British,English
484,Pamela,Samuel Richardson,1740,British,English
320,Clarissa,Samuel Richardson,1748,British,English
119,Tom Jones,Henry Fielding,1749,British,English
1097,Fanny Hill,John Cleland,1748,British,English
1187,The Adventures of Peregrine Pickle,Tobias Smollett,1751,British,English
3271,The Female Quixote,Charlotte Lennox,1752,British,English
74,Candide,Voltaire,1759,French,French
795,"The History of Rasselas, Prince of Abissinia","Samuel Johnson , Abraham Raimbach , Robert Smirke",1759,British,English
972,"Julie, or the New Heloise",Jean-Jacques Rousseau,1761,French,French
914,Émile,Jean-Jacques Rousseau,1762,French,French
334,The Castle of Otranto,Horace Walpole,1764,British,English
340,The Vicar of Wakefield,Oliver Goldsmith,1766,British,English
54,The Life And Opinions Of Tristram Shandy,Laurence Sterne,1759,British,English
819,A Sentimental Journey Through France and Italy,Laurence Sterne,1768,British,English
1725,The Man of Feeling,Henry Mackenzie,1771,British,English
649,The Expedition of Humphry Clinker,Tobias Smollett,1771,British,English
275,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,German,German
818,Evelina,Fanny Burney,1778,British,English
