rank,book,authors,year,country,language
20,The Trial,Franz Kafka,1925,Czech,German
2,In Search of Lost Time,Marcel Proust,1913,French,French
1,Ulysses,James Joyce,1922,Irish,English
23,The Stranger,Albert Camus,1942,French,French
7,Nineteen Eighty Four,George Orwell,1949,British,English
78,The Metamorphosis,Franz Kafka,1915,Czech,German
45,Beloved,Toni Morrison,1987,American,English
318,History,Elsa Morante,1974,Italian,Italian
25,To the Lighthouse,Virginia Woolf,1927,British,English
4,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish
191,A Room of One's Own,Virginia Woolf,1929,British,English
11,Lolita,Vladimir Nabokov,1955,American,English
47,Fictions,Jorge Luis Borges,1944,Argentinian,Spanish
34,The Master and Margarita,Mikhail Bulgakov,1967,Russian,Russian
630,The Elementary Particles,Michel Houellebecq,1998,French,French
32,Mrs. Dalloway,Virginia Woolf,1925,British,English
114,If This Is a Man,Primo Levi,1947,Italian,Italian
29,The Magic Mountain,Thomas Mann,1924,German,German
3519,Married Life,David Vogel,1986,Jewish,English
3,The Great Gatsby,F. Scott Fitzgerald,1925,American,English
392,My Brilliant Friend,Elena Ferrante,2012,American,Italian
858,A Tale of Love and Darkness,Amos Oz,2002,Israeli,Hebrew
231,The Corrections,Jonathan Franzen,2001,American,English
3103,Poems,Hayyim Nahman Bialik,1901,Israeli,Hebrew
287,The Road,Cormac McCarthy,2006,American,English
211,The Book of Disquiet,Fernando Pessoa,1982,Portuguese,Portuguese
96,The Bell Jar,Sylvia Plath,1963,American,English
160,The Second Sex,Simone de Beauvoir,1949,French,French
3129,A Simple Story,S.Y. Agnon,1935,Israeli,Hebrew
49,Journey to the End of The Night,Louis-Ferdinand Céline,1932,French,French
232,Death in Venice,Thomas Mann,1912,German,German
100,Waiting for Godot,Samuel Beckett,1953,Irish,French
483,"W, or the Memory of Childhood",Georges Perec,1975,French,French
9,The Sound and the Fury,William Faulkner,1929,American,English
88,Buddenbrooks,Thomas Mann,1901,German,German
16,To Kill a Mockingbird,Harper Lee,1960,American,English
2282,To The End Of The Land,David Grossman,2008,Israeli,Hebrew
35,Catch-22,Joseph Heller,1961,American,English
259,Disgrace,J. M. Coetzee,1999,South African,English
4081,Shira,S.Y. Agnon,1989,Israeli,Hebrew
266,"Life, a User's Manual",Georges Perec,1978,French,French
391,The Myth of Sisyphus,Albert Camus,1942,French,French
425,Philosophical Investigations,Ludwig Wittgenstein,1953,Austrian,German
3793,Subconscious Opens Like A Fan,Yona Wallach,1985,Israeli,Hebrew
225,2666,Roberto Bolaño,2004,Chilean,Spanish
188,Berlin Alexanderplatz,Alfred Döblin,1929,German,German
141,The Waste Land,T. S. Eliot,1922,British,English
6086,The Sound Of Our Steps,Ronit Matalon,2008,Israeli,Hebrew
44,The Little Prince,Antoine de Saint-Exupéry,1943,French,French
2462,The Garden Of Forking Paths,Jorge Luis Borges,1941,Argentinian,Spanish
821,Only Yesterday,Shmuel Yosef Agnon,1945,Israeli,Hebrew
5,The Catcher in the Rye,J. D. Salinger,1951,American,English
57,The Sun Also Rises,Ernest Hemingway,1926,American,English
2287,The End And The Beginning,Wislawa Szymborska,1993,Polish,Polish
2480,"Howl, Kaddish And Other Poems",Allen Ginsberg,1956,American,English
1555,Past Continuous,Yaakov Shabtai,1977,Israeli,Hebrew
4566,The Complete Stories,Clarice Lispector,2016,Brazilian,Portuguese
1168,The World Of Yesterday,Stefan Zweig,1942,Austrian,German
82,The Castle,Franz Kafka,1926,Czech,German
139,Molloy,Samuel Beckett,1951,Irish,French
264,Malone Dies,Samuel Beckett,1951,Irish,French
315,The Unnamable,Samuel Beckett,1953,Irish,French
2492,Beyond the Pleasure Principle,Sigmund Freud,1920,Austrian,German
886,My Struggle,Karl Ove Knausgård,2009,Norwegian,Norwegian
260,Never Let Me Go,Kazuo Ishiguro,2005,British,English
724,Howl and Other Poems,Allen Ginsberg,1956,American,English
199,A Good Man Is Hard to Find,Flannery O'Connor,1953,American,English
3554,"A Small, Good Thing",Raymond Carver,1981,American,English
638,The Family Moskat,Isaac Bashevis Singer,1950,Polish,Yiddish
9078,Stars Outside,Nathan Alterman,,Israeli,Hebrew
167,Of Mice and Men,John Steinbeck,1937,American,English
1615,Cat's Eye,Margaret Atwood,1988,Canadian,English
193,The Interpretation of Dreams,Sigmund Freud,1899,Austrian,German
2339,"Happiness, as Such",Natalia Ginzburg,1973,Italian,Italian
3528,The Day Lasts More Than A Hundred Years,Chinghiz Aitmatov,1980,Kyrgyz,Russian
42,"Absalom, Absalom!",William Faulkner,1936,American,English
63,The Golden Notebook,Doris May Lessing,1962,British,English
6303,Collected Poems,Dalia Rabikovitch,2009,Israeli,Hebrew
2524,The Human Condition,Hannah Arendt,1958,German,English
217,White Teeth,Zadie Smith,2000,British,English
594,Pnin,Vladimir Nabokov,1957,Russian,English
117,The Diary of a Young Girl,Anne Frank,1947,Dutch,Dutch
256,Austerlitz,W. G. Sebald,2001,German,German
133,The Handmaid's Tale,Margaret Atwood,1985,Canadian,English
1169,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,2009,Polish,Polish
72,The Plague,Albert Camus,1947,French,French
95,The Age of Innocence,Edith Wharton,1920,American,English
563,Man's Search for Meaning,Viktor Frankl,1946,Austrian,German
236,Atonement,Ian McEwan,2001,British,English
454,Waiting for the Barbarians,J. M. Coetzee,1980,South African,English
930,The Periodic Table,Primo Levi,1975,Italian,Italian
190,The Remains of the Day,Kazuo Ishiguro,1989,British,English
17,The Lord Of The Rings,J. R. R. Tolkien,1959,English,English
41,On the Road,Jack Kerouac,1957,American,English
427,The Origins of Totalitarianism,Hannah Arendt,1951,German,English
317,Solaris,Stanislaw Lem,1961,Polish,Polish
343,The Savage Detectives,Roberto Bolaño,1998,Chilean,Spanish
87,All Quiet on the Western Front,Erich Maria Remarque,1928,German,German
3360,Daylight,Czesław Miłosz,1975,Polish,Polish
482,Everything That Rises Must Converge,Flannery O'Connor,1965,American,English
9115,That's How It Was,Natalia Ginzburg,,Italian,Italian
2893,Dolly City,Orly Castel-Bloom,1992,Israeli,Hebrew
