rank,book,authors,year,country,language
831,The Woman in the Dunes,Kobo Abé,1962,Japanese,Japanese
60,Things Fall Apart,Chinua Achebe,1958,Nigerian,English
1417,Minima Moralia,Theodor Adorno,1951,German,German
4123,Introduction To The Sociology Of Music,Theodor Adorno,1962,German,English
542,Aesop's Fables,Aesop,-560,Greek,Ancient greek
821,Only Yesterday,Shmuel Yosef Agnon,1945,Israeli,Hebrew
1978,The Greater Hope,Ilse Aichinger,1948,Austrian,German
2817,Jamila,Chinghiz Aitmatov,1958,Kyrgyz,Kyrgyz
295,The Lost Estate,Henri Alain-Fournier,1913,French,French
1488,Guzmán de Alfarache,Mateo Alemán,1599,Spanish,Spanish
569,The Man with the Golden Arm,Nelson Algren,1949,American,English
296,The House of the Spirits,Isabel Allende,1982,Chilean,Spanish
995,"Gabriela, Clove and Cinnamon",Jorge Amado,1958,Brazilian,Portuguese
7702,Elling,Ingvar Ambjørnsen,1996,Norwegian,Norwegian
4123,The Light Of Day,Eric Ambler,1962,British,English
5247,On Suicide,Jean Améry,1976,Unknown,German
3752,The Obsolescence Of Man,Günther Anders,1956,German,German
3788,Sansibar Or The Last Reason,Alfred Andersch,1957,German,German
237,Fairy Tales and Stories,Hans Christian Andersen,1835,Danish,Danish
1478,Pelle The Conqueror,Martin Andersen Nexø,1906,Danish,Danish
301,"Winesburg, Ohio",Sherwood Anderson,1919,American,English
967,Macunaíma,Mario de Andrade,1928,Brazilian,Portuguese
418,The Bridge on the Drina,Ivo Andrić,1945,Bosnian,Serbo-croatian
1096,Ashes and Diamonds,Jerzy Andrzejewski,1948,Polish,Polish
2122,The Flame Of Life,Gabriele D'Annunzio,1900,Italian,Italian
254,The Epic Of Gilgamesh,Unknown,-2100,Multiple,Akkadian
1047,Upanishads,Unknown,-799,Indian,Sanskrit
312,Mahabharata,Vyasa,-400,Indian,Sanskrit
409,Ramayana,Valmiki,-200,Indian,Sanskrit
1064,I Ching,China,-1000,Chinese,Chinese
21,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek"
486,The Quran,Unknown,610,Arabic,Arabic
642,Beowulf,Unknown,1000,Unknown,Old english
1620,The Song of Roland,Unknown,1100,French,Old french
677,The Nibelungenlied,Unknown,1200,German,Middle high german
2210,Roman De La Rose,"Guillaume de Lorris , Jean de Meun",1237,French,Old french
1510,The Poetic Edda,Unknown,1270,Multiple,Old norse
787,Amadis of Gaul,Garci R. de Montalvo,1508,Spanish,Spanish
1246,The Plum in the Golden Vase,Unknown,1610,Chinese,Chinese
48,One Thousand and One Nights,Unknown,800,Multiple,Arabic
3503,The Inquisitors' Manual,António Lobo Antunes,1996,Portuguese,English
457,Alcools,Guillaume Apollinaire,1913,French,French
494,The Golden Ass,Apuleius,158,Roman,Latin
627,Summa Theologica,Thomas Aquinas,1274,Italian,Latin
1480,The Bells of Basel,Louis Aragon,1934,French,French
1124,Eichmann in Jerusalem,Hannah Arendt,1963,German,English
3570,The School Of Whoredom,Pietro Aretino,1536,Italian,English
946,The Orlando Furioso,Lodovico Ariosto,1516,Italian,Italian
1262,Poetics,Aristotle,-322,Greek,Greek
1152,The Politics,Aristotle,-350,Greek,Ancient greek
3570,Des Knaben Wunderhorn,"Clemens Brentano , Achim von Arnim",1808,German,German
3823,Med Ana Schwoazzn Dintn,Hans Carl Artmann,1958,Austrian,German
803,"I, Robot",Isaac Asimov,1950,American,English
1225,The President,Miguel Angel Asturias,1946,Guatemalan,Spanish
133,The Handmaid's Tale,Margaret Atwood,1985,Canadian,English
1579,The Age of Anxiety,W. H. Auden,1947,British,English
5815,Jesus Menschensohn,Rudolf Augstein,1982,German,German
118,Confessions,Augustine,397,Roman,Latin
3570,The Life Divine,Sri Aurobindo,1942,Indian,English
6135,Der Baader Meinhof Komplex,Stefan Aust,1985,German,German
15,Pride and Prejudice,Jane Austen,1813,British,English
885,The New York Trilogy,Paul Auster,1985,American,English
517,Red Cavalry,Isaac Babel,1926,Russian,Russian
1919,The Mill On The Po,Riccardo Bacchelli,1938,Italian,Italian
3752,Invocation Of The Great Bear,Ingeborg Bachmann,1956,Austrian,German
