rank,book,authors,year,country,language
24,Middlemarch,George Eliot,1871,British,English
25,To the Lighthouse,Virginia Woolf,1927,British,English
32,Mrs. Dalloway,Virginia Woolf,1925,British,English
38,Great Expectations,Charles Dickens,1860,British,English
30,Jane Eyre,Charlotte Brontë,1847,British,English
131,Bleak House,Charles Dickens,1852,British,English
14,Wuthering Heights,Emily Brontë,1847,British,English
46,David Copperfield,Charles Dickens,1849,British,English
39,Frankenstein,Mary Shelley,1818,British,English
105,Vanity Fair,William Makepeace Thackeray,1847,British,English
15,Pride and Prejudice,Jane Austen,1813,British,English
7,Nineteen Eighty Four,George Orwell,1949,British,English
89,The Good Soldier,Ford Madox Ford,1915,British,English
320,Clarissa,Samuel Richardson,1748,British,English
236,Atonement,Ian McEwan,2001,British,English
297,The Waves,Virginia Woolf,1931,British,English
184,Howards End,E. M. Forster,1910,British,English
190,The Remains of the Day,Kazuo Ishiguro,1989,British,English
76,Emma,Jane Austen,1815,British,English
179,Persuasion,Jane Austen,1817,British,English
31,Heart of Darkness,Joseph Conrad,1899,British,English
119,Tom Jones,Henry Fielding,1749,British,English
280,Jude the Obscure,Thomas Hardy,1895,British,English
63,The Golden Notebook,Doris May Lessing,1962,British,English
217,White Teeth,Zadie Smith,2000,British,English
17,The Lord Of The Rings,J. R. R. Tolkien,1959,English,English
69,Robinson Crusoe,Daniel Defoe,1719,British,English
624,Villette,Charlotte Brontë,1853,British,English
4023,Brick Lane,Monica Ali,2003,British,English
339,Moll Flanders,Daniel Defoe,1722,British,English
169,The End of the Affair,Graham Greene,1951,British,English
288,A Room With a View,E. M. Forster,1908,British,English
124,The Wind in the Willows,Kenneth Grahame,1908,British,English
260,Never Let Me Go,Kazuo Ishiguro,2005,British,English
4178,Remainder,Tom McCarthy,2005,British,English
314,A Dance to the Music of Time,Anthony Powell,1951,British,English
735,Decline and Fall,Evelyn Waugh,1928,British,English
1068,The Passion,Jeanette Winterson,1987,British,English
2185,The Sense of an Ending,Julian Barnes,2011,British,English
36,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English
971,Dombey and Son,Charles Dickens,1846,British,English
212,Brighton Rock,Graham Greene,1938,British,English
1059,The Swimming-Pool Library,Alan Hollinghurst,1988,British,English
380,Wolf Hall,Hilary Mantel,2009,British,English
6578,The Little Stranger,Sarah Waters,2009,British,English
58,Midnight's Children,Salman Rushdie,1981,Indian,English
54,The Life And Opinions Of Tristram Shandy,Laurence Sterne,1759,British,English
375,Lucky Jim,Kingsley Amis,1954,British,English
694,Possession,A. S. Byatt,1990,British,English
79,A Passage to India,E. M. Forster,1924,British,English
109,Tess of the d'Urbervilles,Thomas Hardy,1891,British,English
584,New Grub Street,George Gissing,1891,British,English
156,Wide Sargasso Sea,Jean Rhys,1966,British,English
1712,NW,Zadie Smith,2012,British,English
65,Gulliver's Travels,Jonathan Swift,1726,British,English
1431,Oranges are not the only Fruit,Jeanette Winterson,1985,British,English
367,Parade's End,Ford Madox Ford,1924,British,English
710,Loving,Henry Green,1945,British,English
699,The Line of Beauty,Alan Hollinghurst,2004,British,English
132,Sons and Lovers,D. H. Lawrence,1913,British,English
439,"The Sea, The Sea",Iris Murdoch,1978,British,English
53,Animal Farm,George Orwell,1945,British,English
155,The Prime of Miss Jean Brodie,Muriel Spark,1961,"British, Scottish",English
679,The Way We Live Now,Anthony Trollope,1875,British,English
99,Orlando,Virginia Woolf,1928,British,English
413,Sense and Sensibility,Jane Austen,1811,British,English
816,Crash,J. G. Ballard,1973,British,English
153,A Clockwork Orange,Anthony Burgess,1962,British,English
276,Nostromo,Joseph Conrad,1904,British,English
450,Daniel Deronda,George Eliot,1876,British,English
2491,Old Filth,Jane Gardam,2004,British,English
1067,The Heart of the Matter,Graham Greene,1948,British,English
1062,The Blue Flower,Penelope Fitzgerald,1995,British,English
347,The Mayor of Casterbridge,Thomas Hardy,1886,British,English
221,Women in Love,D. H. Lawrence,1920,British,English
2451,Small Island,Andrea Levy,2004,British,English
285,Of Human Bondage,W. Somerset Maugham,1915,British,English
215,A House for Mr. Biswas,V. S. Naipaul,1961,Trinidadian,English
422,His Dark Materials,Philip Pullman,1995,British,English
666,Excellent Women,Barbara Pym,1952,British,English
2233,The Jewel In The Crown,Paul Scott,1966,British,English
1430,Never Mind,Edward St Aubyn,1992,British,English
2807,Bad News,Edward St Aubyn,1992,British,English
2907,Some Hope,Edward St Aubyn,1994,British,English
3094,Mother's Milk,Edward St Aubyn,2005,British,English
5163,At Last,Edward St Aubyn,2011,British,English
648,Barchester Towers,Anthony Trollope,1857,British,English
423,Scoop,Evelyn Waugh,1938,British,English
822,Regeneration,Pat Barker,1991,British,English
1306,A Legacy,Sybille Bedford,1956,German,English
374,The Old Wives' Tale,Arnold Bennett,1908,British,English
551,The Death of the Heart,Elizabeth Bowen,1938,"British, Irish",English
1128,The Horse's Mouth,Joyce Cary,1944,British,English
147,The Woman in White,Wilkie Collins,1860,British,English
235,The Forsyte Saga,John Galsworthy,1906,British,English
459,Cold Comfort Farm,Stella Gibbons,1932,British,English
51,Lord of the Flies,William Golding,1954,British,English
249,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824,Scottish,English
1015,The Buddha of Suburbia,Hanif Kureishi,1990,British,English
2050,The Memoirs of a Survivor,Doris May Lessing,1974,British,English
261,The Chronicles of Narnia,C. S. Lewis,1950,British,English
62,Under the Volcano,Malcolm Lowry,1947,British,English
3807,There But For The,Ali Smith,2011,British,English
536,The Code of the Woosters,P. G. Wodehouse,1938,British,English
